"","Age1","Age2","Liberty","Length1","Length2","Sex","Area1","Date0","Date1","Date2","release.weight","weight","distance"
"2231",14.8881262868909,16,1.11187371310913,139,139,2,9,1990-12-09 00:00:00,2006-12-09,2008-01-18,28.6,22.3,2.9383797822837
"3541",11.0048043925875,14,2.99519560741249,112,126,2,5,1992-01-08 00:00:00,2006-01-08,2009-01-03,17.8,25.5,20.8687489015653
"3561",15.9800960878518,19,3.01990391214825,129,139,2,5,1987-01-04 00:00:00,2006-01-04,2009-01-08,24.7,29,9.43676171561209
"4411",9.9334248455731,13,3.0665751544269,105,120,1,4,1994-01-13 00:00:00,2007-01-13,2010-02-03,14.1,19.5,61.0770096364828
"4421",11.9533287577213,16,4.04667124227865,104,133,1,4,1990-01-21 00:00:00,2006-01-21,2010-02-03,17.2,26,112.424465281132
"4452",6.8716540837337,12,5.1283459162663,96,114,2,4,1992-12-26 00:00:00,2004-12-26,2010-02-06,14,20,3.84361005731228
"4891",11.0295126973233,14,2.97048730267673,106,121,2,4,1993-01-03 00:00:00,2007-01-03,2009-12-20,13.5686028109452,21,56.488799505705
"3100",18.0885380919698,19,0.911461908030199,106,105,1,4,1983-02-27 00:00:00,2002-02-27,2003-01-25,13.97,14.5,28.2676650267375
"4100",10.1249142072752,12,1.87508579272478,102,108,2,4,1989-02-18 00:00:00,2001-02-18,2003-01-02,11.35,14,677.107490016715
"5100",10.1352093342485,11,0.864790665751544,99,103,1,5,1991-03-16 00:00:00,2002-03-16,2003-01-25,12.3,12.5,125.001246509336
"6100",23.9780370624571,24,0.0219629375428964,125,126,2,2,1978-12-26 00:00:00,2002-12-26,2003-01-03,16.8,17.5,19.4409330285791
"7100",14.1111873713109,16,1.88881262868909,106,118,1,4,1986-03-10 23:00:00,2002-03-11,2004-01-28,16.8,22,15.5257439087839
"8100",13.0089224433768,14,0.991077556623198,95,101,1,5,1989-02-17 00:00:00,2003-02-17,2004-02-13,11,14,64.1818369338029
"910",22.4098604438344,23,0.590139556165637,140,132,2,2,1980-05-10 00:00:00,2003-05-10,2003-12-11,23,22,2.01701985477861
"1010",19.9698009608785,20,0.0301990391214825,129,127,2,2,1983-12-09 00:00:00,2003-12-09,2003-12-20,21,20.5,2.01702079751623
"1110",13.20384351407,14,0.796156485929993,110,110,2,2,1989-02-15 00:00:00,2003-02-15,2003-12-02,15,13,88.0779055063962
"1210",22.3878975062915,23,0.612102493708534,120,132,2,2,1980-05-03 00:00:00,2003-05-03,2003-12-12,23,18.5,4.89933712650097
"1310",18.3796614047129,19,0.62033859528712,106,115,2,2,1984-05-03 00:00:00,2003-05-03,2003-12-15,20,15,2.39207500130945
"1410",18.3933882406772,19,0.606611759322809,95,108,2,2,1984-05-10 00:00:00,2003-05-10,2003-12-17,13,11.5,6.49859224597318
