                 Estimate   Std. Error
ln_gamma     1.764855e+00 5.117430e-01
logit_psi   -3.221791e-02 3.003750e-01
ln_L0        3.677311e+00 8.874966e-02
ln_L0        3.667286e+00 1.066083e-01
ln_bmean    -6.926905e+00 1.263001e-01
ln_bmean    -6.549340e+00 1.287911e-01
ln_sd_obs   -3.062131e+00 7.068402e-02
ln_sd_z      2.882468e+00 5.042282e-01
z1           1.376834e+01 4.776473e+00
z1           3.631755e+00 4.562537e+00
z1           3.593213e+00 5.114031e+00
z1           2.481752e+00 4.146617e+00
z1          -4.851923e+00 4.519240e+00
z1           5.883440e+00 4.029867e+00
z1          -1.726205e+00 4.459856e+00
z1          -2.765969e+01 4.143421e+00
z1          -2.844044e+00 4.112220e+00
z1          -3.995574e+00 3.657048e+00
z1          -1.517646e+01 4.620083e+00
z1          -1.194499e+01 4.335436e+00
z1          -1.888843e+01 3.793316e+00
z1          -2.993230e+00 4.960450e+00
z1          -6.351988e+00 4.354470e+00
z1          -6.986993e+00 4.075568e+00
z1          -1.372629e+01 4.916811e+00
z1          -2.081230e+01 4.345609e+00
z1          -2.997454e+01 4.220490e+00
z1           1.244085e+00 4.710953e+00
z1          -1.041217e+01 4.233145e+00
z1           9.207271e+00 4.461156e+00
z1           7.338508e+00 4.710543e+00
z1           1.257181e+01 5.196581e+00
z1          -7.504224e+00 5.959225e+00
z1          -1.426051e+01 3.269470e+00
z1          -2.233674e+01 3.569846e+00
z1          -2.292492e+01 3.348989e+00
z1          -1.536831e+00 3.287989e+00
z1          -1.369346e+01 3.885379e+00
z1          -2.020891e+01 4.051433e+00
z1          -4.032443e+00 4.075129e+00
z1          -1.326202e+01 4.117067e+00
z1          -1.581203e+01 4.201585e+00
z1           1.600494e+00 4.209395e+00
z1           1.150840e-01 4.311495e+00
z1          -1.134659e+01 4.595148e+00
z1           6.976793e+00 4.529543e+00
z1          -1.243902e+00 4.004505e+00
z1          -1.883747e+01 4.142052e+00
z1          -7.568398e+00 4.176488e+00
z1          -5.085479e+00 4.141642e+00
z1          -1.950666e+00 4.302280e+00
z1           4.111202e+00 4.371182e+00
z1          -2.196865e+01 2.403233e+00
z1          -2.938832e+01 3.223200e+00
z1           6.192953e+00 4.045106e+00
z1          -6.134874e+00 4.269001e+00
z1           1.355959e+00 4.251326e+00
z1          -2.431385e+00 4.487721e+00
z1          -1.483891e+01 4.658450e+00
z1           2.004022e-01 4.653596e+00
z1          -1.448239e+01 5.483034e+00
z1          -2.561367e-01 5.887112e+00
z1           2.772653e+00 4.893657e+00
z1          -6.480682e+00 4.047286e+00
z1           1.363680e+01 4.925743e+00
z1          -6.917443e-01 4.232642e+00
z1          -1.148107e+01 3.870236e+00
z1          -9.313851e+00 4.250724e+00
z1           1.513908e+01 3.536194e+00
z1          -1.070203e+01 3.625409e+00
z1          -1.514440e+01 3.553203e+00
z1          -9.619919e+00 3.819248e+00
z1           5.110216e+00 4.579944e+00
z1          -2.429415e+00 4.060984e+00
z1           7.544888e+00 4.290660e+00
z1          -9.274976e+00 3.931577e+00
z1           6.381114e+00 3.758454e+00
z1          -1.349493e+01 3.103897e+00
z1          -5.199266e+00 3.863065e+00
z1          -1.940293e+01 4.166742e+00
z1          -1.818196e+01 3.992955e+00
z1          -7.752974e+00 3.651125e+00
z1          -1.173114e+01 4.149217e+00
z1          -9.547451e+00 3.245447e+00
z1          -3.953410e+00 3.506091e+00
z1           4.738529e+00 3.859285e+00
z1           3.545482e+00 4.150388e+00
z1          -1.502082e+01 3.475343e+00
z1          -8.390819e+00 4.018681e+00
z1           1.906140e+01 4.707514e+00
z1           6.099814e+00 3.515653e+00
z1          -6.340895e-01 4.583771e+00
z1           2.366320e+00 3.726603e+00
z1           3.599256e+00 4.476663e+00
z1           1.767407e+01 4.614584e+00
z1           1.254814e+01 4.918709e+00
z1           1.181379e+01 4.997079e+00
z1           1.903437e+00 4.536984e+00
z1          -3.023575e+00 5.271392e+00
z1           6.301877e+00 3.944623e+00
z1           3.810587e+00 4.292581e+00
z1           1.095319e+01 3.727037e+00
z1           3.657391e+00 3.986665e+00
z1          -5.220026e+00 4.175193e+00
z1           1.088768e+01 4.872442e+00
z1          -7.998126e+00 4.065580e+00
z1           3.019234e-01 3.854684e+00
z1          -4.081361e+00 3.924157e+00
z1          -4.845206e-01 3.758463e+00
z1          -2.246039e+00 4.004378e+00
z1           2.502041e+00 3.992944e+00
z1           2.669040e+00 4.055164e+00
z1          -4.206746e+00 4.140932e+00
z1           3.542039e-01 4.326607e+00
