                 Estimate   Std. Error
ln_gamma    -2.982379e+00 2.021512e-01
ln_gamma    -3.034478e+00 1.971260e-01
L0           5.823895e+01 2.832887e+00
L0           6.082301e+01 2.769629e+00
ln_bmean    -2.090147e+01 3.282259e+02
ln_bmean    -2.838021e+01          NaN
ln_sd_obs   -2.258795e+00 2.909166e-02
ln_sd_ydev  -2.196694e-01 2.774256e-01
ln_ydev     -1.850643e-02 7.931047e-01
ln_ydev     -3.505698e-02 7.808001e-01
ln_ydev     -3.607357e-02 7.794623e-01
ln_ydev     -3.676107e-02 7.744989e-01
ln_ydev     -1.261127e-01 7.457241e-01
ln_ydev     -1.790388e-01 7.286205e-01
ln_ydev     -2.205009e-01 7.177808e-01
ln_ydev     -2.537066e-01 7.069236e-01
ln_ydev     -3.166595e-01 6.928161e-01
ln_ydev     -3.623083e-01 6.789026e-01
ln_ydev     -1.962753e-01 7.151989e-01
ln_ydev      1.743232e-01 8.328506e-01
ln_ydev     -1.847703e-01 7.066609e-01
ln_ydev     -3.465836e-01 6.695935e-01
ln_ydev     -3.199709e-01 6.738105e-01
ln_ydev     -2.254125e-01 6.792844e-01
ln_ydev     -3.666669e-02 6.908457e-01
ln_ydev     -2.425957e-01 6.640510e-01
ln_ydev     -2.710354e-01 6.893310e-01
ln_ydev      1.119959e+00 5.327446e-01
ln_ydev      4.464085e-01 6.944359e-01
ln_ydev     -1.289073e-02 7.053880e-01
ln_ydev      4.262399e-01 5.979394e-01
ln_ydev     -5.350583e-02 7.294296e-01
ln_ydev      1.167629e+00 4.436407e-01
ln_ydev      3.865260e-01 6.931899e-01
ln_ydev     -1.156464e-01 6.996665e-01
ln_ydev      5.403576e-01 6.482543e-01
ln_ydev     -3.782217e-01 6.687697e-01
ln_ydev     -4.017666e-01 6.750593e-01
ln_ydev      7.426639e-01 5.432211e-01
ln_ydev     -4.788793e-02 7.390922e-01
ln_ydev      1.692711e+00 2.966536e-01
ln_ydev      2.502241e-01 5.966221e-01
ln_ydev     -4.246880e-01 6.610642e-01
ln_ydev      8.811778e-01 5.051446e-01
ln_ydev      4.528837e-01 7.129713e-01
ln_ydev      3.122611e-01 8.224580e-01
ln_ydev      8.902216e-01 7.343315e-01
ln_ydev      5.392136e-01 1.076173e+00
gamma        5.067215e-02 1.024344e-02
gamma        4.809978e-02 9.481717e-03
psi          1.000000e-06 0.000000e+00
L0           5.823895e+01 2.832887e+00
L0           6.082301e+01 2.769629e+00
amean        5.067109e-02 1.024317e-02
amean        4.809841e-02 9.481446e-03
bmean        8.367700e-10 2.746496e-07
bmean        4.727477e-13          NaN
sd_bdev      1.000000e-03 0.000000e+00
sd_bdev      1.000000e-03 0.000000e+00
sd_obs       1.044763e-01 3.039390e-03
sd_z         1.000000e-03 0.000000e+00
sd_ydev      8.027842e-01 2.227129e-01
sd_xdev      1.000000e-03 0.000000e+00
Length1_hat  1.237345e+02 1.335672e+00
Length1_hat  1.096366e+02 1.213552e+00
Length1_hat  1.284207e+02 1.557399e+00
Length1_hat  1.026554e+02 1.411187e+00
Length1_hat  1.128633e+02 1.458448e+00
Length1_hat  8.632132e+01 1.470502e+00
Length1_hat  1.089752e+02 1.306493e+00
Length1_hat  1.178760e+02 2.858434e+00
Length1_hat  1.013528e+02 2.417066e+00
Length1_hat  9.730597e+01 2.121878e+00
Length1_hat  1.307792e+02 3.422101e+00
Length1_hat  1.093564e+02 2.378416e+00
Length1_hat  1.086037e+02 1.682876e+00
Length1_hat  1.289429e+02 2.803184e+00
Length1_hat  1.246066e+02 2.093409e+00
Length1_hat  1.090066e+02 1.612918e+00
Length1_hat  1.288418e+02 2.800234e+00
Length1_hat  1.201023e+02 2.112992e+00
Length1_hat  1.202034e+02 2.118795e+00
Length1_hat  1.281061e+02 2.615315e+00
Length1_hat  1.219418e+02 2.058710e+00
Length1_hat  1.265421e+02 1.695081e+00
Length1_hat  1.164825e+02 1.694241e+00
Length1_hat  1.247672e+02 2.092980e+00
Length1_hat  1.592301e+02 6.347128e+00
Length1_hat  9.574837e+01 1.596086e+00
