                 Estimate   Std. Error
ln_gamma    -1.523114e+00 1.036295e-01
ln_gamma    -1.661956e+00 1.133669e-01
L0           3.466128e+01 5.009659e+00
L0           4.581681e+01 3.869892e+00
ln_bmean    -6.727249e+00 1.729655e-01
ln_bmean    -6.870199e+00 1.922108e-01
ln_sd_bdev  -6.907755e+00 2.767041e+01
ln_sd_bdev  -6.260265e+00 2.358746e+01
ln_sd_obs   -3.037504e+00 7.069170e-02
ln_sd_z     -4.586117e-01 5.714827e-02
ln_bdev     -1.752590e-05 2.081842e-03
ln_bdev     -6.131208e-06 1.932450e-03
ln_bdev     -4.713664e-06 1.923546e-03
ln_bdev     -6.581595e-07 1.000655e-03
ln_bdev     -2.539531e-07 1.000089e-03
ln_bdev     -2.403002e-06 1.914058e-03
ln_bdev     -2.872796e-07 1.910740e-03
ln_bdev      1.204027e-05 1.201650e-03
ln_bdev      3.742258e-06 1.918846e-03
ln_bdev      1.618851e-06 1.004001e-03
ln_bdev      3.020866e-05 2.383544e-03
ln_bdev      4.530448e-06 1.030943e-03
ln_bdev      6.604408e-06 1.064696e-03
ln_bdev      1.190563e-05 1.991472e-03
ln_bdev      1.245447e-05 1.998954e-03
ln_bdev      8.907180e-06 1.956360e-03
ln_bdev      2.425024e-05 2.226934e-03
ln_bdev      2.770331e-05 2.314888e-03
ln_bdev      3.643727e-05 2.570121e-03
ln_bdev     -7.417194e-07 1.000824e-03
ln_bdev      1.616113e-05 2.057161e-03
ln_bdev     -1.134041e-05 1.984120e-03
ln_bdev     -7.858662e-06 1.946289e-03
ln_bdev     -1.679319e-05 2.068316e-03
ln_bdev      3.026699e-06 1.013901e-03
ln_bdev      5.787382e-06 1.050036e-03
ln_bdev      2.073049e-05 2.146469e-03
ln_bdev      1.139431e-05 1.984903e-03
ln_bdev      8.188773e-07 1.001022e-03
ln_bdev      1.434157e-05 2.026962e-03
ln_bdev      6.291750e-06 1.058881e-03
ln_bdev      5.220103e-06 1.926507e-03
ln_bdev      5.742567e-06 1.049276e-03
ln_bdev      4.399924e-06 1.029213e-03
ln_bdev     -9.560340e-07 1.911227e-03
ln_bdev     -2.488961e-07 1.000086e-03
ln_bdev      4.844386e-06 1.035303e-03
ln_bdev     -7.934067e-06 1.946984e-03
ln_bdev      2.479710e-06 1.914288e-03
ln_bdev      1.337120e-05 2.012148e-03
ln_bdev      7.387020e-06 1.942226e-03
ln_bdev      3.314644e-06 1.917096e-03
ln_bdev      1.533952e-06 1.912069e-03
ln_bdev     -1.820237e-06 1.005051e-03
ln_bdev      4.403243e-06 1.029263e-03
ln_bdev      2.479188e-05 2.240275e-03
ln_bdev     -4.796124e-06 1.924049e-03
ln_bdev      8.240710e-06 1.949842e-03
ln_bdev      8.218516e-07 1.911084e-03
ln_bdev      6.554383e-06 1.935535e-03
ln_bdev      2.224002e-05 2.179771e-03
ln_bdev      2.864931e-06 1.915441e-03
ln_bdev      3.542463e-05 2.538274e-03
ln_bdev      1.379581e-05 2.018374e-03
ln_bdev      2.643793e-07 1.910690e-03
ln_bdev      6.851814e-06 1.937860e-03
ln_bdev     -6.177284e-06 1.056796e-03
ln_bdev      2.727721e-06 1.915022e-03
ln_bdev      4.869260e-06 1.035665e-03
ln_bdev      1.375323e-05 2.017845e-03
ln_bdev     -4.627385e-07 1.910846e-03
ln_bdev      4.068012e-06 1.025024e-03
ln_bdev     -9.512829e-08 1.000010e-03
ln_bdev      2.689626e-06 1.011013e-03
ln_bdev     -1.707990e-06 1.004443e-03
ln_bdev      1.712252e-06 1.004472e-03
ln_bdev     -6.890411e-06 1.938137e-03
ln_bdev      4.064241e-06 1.024976e-03
ln_bdev     -4.444570e-07 1.000296e-03
ln_bdev      1.112965e-05 1.981560e-03
ln_bdev      2.737698e-06 1.011406e-03
ln_bdev      2.514519e-05 2.248980e-03
ln_bdev      1.801032e-05 2.091106e-03
ln_bdev      7.863345e-06 1.946398e-03
ln_bdev      1.443134e-05 2.028366e-03
ln_bdev      3.200676e-06 1.015563e-03
ln_bdev      1.747285e-06 1.004659e-03
ln_bdev     -1.175606e-06 1.002108e-03
ln_bdev     -3.387741e-06 1.917369e-03
ln_bdev      3.569260e-06 1.019319e-03
ln_bdev      4.438208e-06 1.029714e-03
ln_bdev     -8.060144e-06 1.094952e-03
ln_bdev      1.138321e-07 1.000016e-03
ln_bdev      2.300524e-06 1.913754e-03
ln_bdev     -5.033861e-07 1.000383e-03
ln_bdev     -1.166264e-06 1.002069e-03
ln_bdev     -2.149296e-05 2.162995e-03
ln_bdev     -1.655423e-05 2.064053e-03
ln_bdev     -1.536797e-05 2.043533e-03
ln_bdev     -1.402634e-06 1.911821e-03
ln_bdev      1.316339e-06 1.002629e-03
ln_bdev     -5.024978e-06 1.925354e-03
ln_bdev     -5.231969e-07 1.000409e-03
ln_bdev     -2.793989e-06 1.011878e-03
ln_bdev     -9.875234e-07 1.001485e-03
ln_bdev      3.077505e-06 1.014392e-03
ln_bdev     -1.390156e-05 2.020059e-03
ln_bdev      3.778896e-06 1.919008e-03
ln_bdev      3.342734e-07 1.000162e-03
ln_bdev      1.532203e-06 1.003583e-03
ln_bdev      5.568964e-07 1.000470e-03
ln_bdev      1.516761e-06 1.003510e-03
ln_bdev     -6.900055e-07 1.000722e-03
ln_bdev     -8.636206e-07 1.001135e-03
ln_bdev      2.171723e-06 1.007189e-03
ln_bdev     -9.349253e-08 1.910702e-03
ln_bdev     -8.533098e-06 1.105871e-03
ln_bdev     -5.874696e-06 1.930674e-03
ln_bdev      3.724477e-07 1.910759e-03
ln_bdev     -7.678100e-06 1.086498e-03
ln_bdev     -1.468379e-05 2.032326e-03
ln_bdev      4.059837e-07 1.910768e-03
ln_bdev      2.532886e-05 2.253457e-03
ln_bdev     -2.644173e-05 2.281678e-03
ln_bdev     -3.138530e-05 2.417073e-03
ln_bdev     -2.520880e-06 1.009673e-03
ln_bdev      3.673099e-06 1.020448e-03
ln_bdev      2.846768e-07 1.000120e-03
ln_bdev     -4.334749e-07 1.000284e-03
ln_bdev      5.605557e-06 1.928932e-03
ln_bdev     -2.903016e-06 1.012813e-03
