                 Estimate   Std. Error
ln_gamma    -9.664179e-01 3.308996e-02
ln_gamma    -7.747433e-01 4.210711e-02
L0           4.776199e-01 9.986885e-01
L0           5.770648e+00 1.000830e+00
ln_bmean    -5.900407e+00 5.346309e-02
ln_bmean    -5.627025e+00 5.594871e-02
ln_sd_bdev  -2.204378e+00 1.235262e-01
ln_sd_bdev  -2.211179e+00 1.067475e-01
ln_sd_obs   -2.322880e+00 4.190619e-02
ln_bdev     -1.011404e-01 6.515155e-02
ln_bdev     -1.619589e-02 6.974087e-02
ln_bdev     -5.803156e-02 6.357023e-02
ln_bdev     -2.303093e-03 7.908729e-02
ln_bdev      4.979305e-03 7.437171e-02
ln_bdev      4.876249e-03 7.694969e-02
ln_bdev      2.069284e-02 7.037784e-02
ln_bdev      1.580312e-01 7.397060e-02
ln_bdev      5.982155e-02 7.411406e-02
ln_bdev      5.992329e-02 8.345749e-02
ln_bdev      1.354143e-02 6.134296e-02
ln_bdev      7.626167e-02 7.472726e-02
ln_bdev      1.531013e-01 8.175584e-02
ln_bdev     -4.951433e-02 6.073907e-02
ln_bdev     -1.060929e-02 6.241847e-02
ln_bdev      6.339870e-02 6.965358e-02
ln_bdev      5.794836e-03 6.159350e-02
ln_bdev      9.226107e-02 6.559989e-02
ln_bdev      1.502644e-01 6.782637e-02
ln_bdev     -6.658490e-02 6.565794e-02
ln_bdev      2.263227e-02 6.365755e-02
ln_bdev     -9.332483e-02 6.299357e-02
ln_bdev     -6.561989e-02 6.426961e-02
ln_bdev     -1.323527e-01 6.118335e-02
ln_bdev     -9.819761e-02 6.080524e-02
ln_bdev      1.654382e-01 9.170567e-02
ln_bdev      2.099627e-01 8.071130e-02
ln_bdev      1.954524e-01 9.009144e-02
ln_bdev      4.218175e-02 8.424919e-02
ln_bdev      1.252337e-01 7.357755e-02
ln_bdev      1.443035e-01 8.107211e-02
ln_bdev      5.384121e-02 7.108355e-02
ln_bdev      9.052861e-02 7.457003e-02
ln_bdev      1.024404e-01 7.860059e-02
ln_bdev      1.164961e-02 7.012808e-02
ln_bdev      3.257486e-03 7.599129e-02
ln_bdev      5.638659e-02 7.198535e-02
ln_bdev     -4.742321e-02 6.649690e-02
ln_bdev      5.878368e-02 7.658905e-02
ln_bdev      1.309467e-01 7.406704e-02
ln_bdev      7.867986e-02 7.278271e-02
ln_bdev      6.487573e-02 7.437774e-02
ln_bdev      3.654320e-02 7.159946e-02
ln_bdev     -2.567032e-02 7.636510e-02
ln_bdev      2.113517e-01 1.165589e-01
ln_bdev      2.457599e-01 8.440560e-02
ln_bdev     -2.447755e-03 7.383756e-02
ln_bdev      4.490095e-02 6.794906e-02
ln_bdev      7.856960e-03 6.850953e-02
ln_bdev      2.884367e-03 6.506790e-02
ln_bdev      4.490661e-02 6.381691e-02
ln_bdev     -2.672072e-02 6.380892e-02
ln_bdev     -1.474191e-02 6.003647e-02
ln_bdev     -1.066230e-01 5.854230e-02
ln_bdev     -6.082692e-02 6.211104e-02
ln_bdev      8.690375e-02 7.525165e-02
ln_bdev     -1.198395e-01 6.785639e-02
ln_bdev      2.130088e-02 6.877556e-02
ln_bdev      1.023135e-01 7.862389e-02
ln_bdev      6.004742e-02 6.720813e-02
ln_bdev     -5.300271e-02 8.582119e-02
ln_bdev      1.141698e-01 8.402099e-02
ln_bdev      6.082688e-02 8.947600e-02
ln_bdev      8.838373e-02 8.246000e-02
ln_bdev     -5.012899e-02 7.004484e-02
